stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_slope_Mean,spectral_centroid_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_rolloff95_Mean,spectral_spectentropy_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_7,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
x85TYyRIRwU,0.943553,4.686869,4.245766,133.869416,2.636662,5001.305631,0.622977,4573.333741,13424.53644,0.850047,33883.958516,0.744832,1.869291,0.367384,0.31669,0.128944,0.168621,0.011276,0.059016,-0.036781,-0.091856,-0.073282,-0.138031,-0.058117,2882.299421,0.540943,817.923425,62.397198,67.407795,0.604847,-0.068814,0.149965,girls
yJ0v0wuokZE,0.946597,4.505575,3.967424,126.815059,1.970271,4285.293564,0.645767,4058.343591,12493.123673,0.853271,16558.74683,0.455768,1.02391,0.059121,0.387226,0.155758,0.077454,0.082612,0.09377,0.000875,0.112695,0.095678,0.034541,0.039911,2143.513957,0.472906,563.036459,51.177207,65.596812,0.709448,0.070149,0.116294,mixed
yQgb0LJUIlU,0.893482,4.067847,5.150465,122.071929,6.741341,1915.00974,0.320043,2579.034576,6703.30257,0.69309,26481.095233,0.561399,2.848478,0.333367,0.695103,0.126312,0.088048,0.153959,0.079749,-0.368834,-0.27577,-0.118668,-0.135568,0.061284,985.920852,0.552511,566.970877,57.225514,63.128672,0.628337,0.04664,0.118565,mixed
yRUiwRKk6QM,0.886239,3.969209,4.350421,117.992185,4.393586,3252.594287,0.551977,3289.396195,9752.201651,0.810148,32490.916083,0.59282,1.849797,0.127634,0.74002,0.009844,-0.011822,0.136772,-0.025132,-0.019405,-0.115292,0.02311,-0.077213,0.054581,1794.097104,0.468484,920.482226,59.041513,65.657031,0.410091,-0.013162,0.157217,mixed
ygXt9OPfzEE,0.903158,3.930394,4.251566,118.120737,1.347859,3786.789643,0.598368,3640.601968,11209.598851,0.808615,36008.186121,0.701406,1.336227,-0.363369,0.452128,-0.218703,0.125424,-0.063938,-0.037631,-0.061851,-0.084718,-0.013652,-0.080198,-0.012565,2170.086622,0.52358,925.374038,63.152581,68.232029,0.478105,-0.011197,0.158868,girls
yxkQMmtVeG8,0.838299,3.750636,4.166649,115.67696,1.834725,3971.692553,0.576038,3978.732123,12288.543409,0.800906,25509.384716,0.635738,1.73026,-0.040442,0.829672,0.151296,-0.021676,-0.19816,0.055146,0.078966,0.003573,0.199058,-0.075424,-0.006588,2136.691358,0.576543,887.392199,62.929064,67.149827,0.422636,-0.00727,0.180296,girls
yyyapflC9Wk,0.920588,5.515095,4.317413,125.994169,5.676493,3065.956644,0.517956,3310.626849,10133.990973,0.793055,17946.362388,0.793701,2.004294,-0.124618,0.335884,-0.002999,-0.007554,-0.154944,-0.050209,0.027009,-0.039402,-0.084611,-0.023409,0.044977,1538.960396,0.514851,1064.941144,67.986184,70.235539,0.433786,-0.013718,0.173157,mixed
y6wJehV4tis,0.816199,7.186228,4.131757,119.894717,1.832532,3368.192523,0.527363,3575.325176,10899.61347,0.800301,10471.953562,0.576554,1.788566,0.028695,0.083742,-0.096169,0.025561,-0.196941,-0.077016,-0.149611,-0.085068,-0.099332,0.026322,0.051942,1747.28176,0.669979,767.062462,63.370629,69.070656,0.534055,-0.006337,0.149304,mixed
zNLbDvnYln0,0.861829,3.770365,4.125113,121.913141,2.955422,3358.565393,0.489225,3726.480938,11485.651577,0.779844,16982.697921,0.583881,2.203605,0.241411,0.500571,0.256684,-0.086417,0.098319,-0.054708,0.037173,0.024144,0.000278,-0.042989,-0.012575,1511.629435,0.549277,883.271126,62.658805,66.216088,0.4727,-0.020962,0.155329,mixed
zgYKLgKXZjQ,0.938651,3.788215,4.281504,119.400616,4.000566,3002.907332,0.473038,3309.557399,10073.041369,0.767678,56498.781576,0.495959,2.090721,0.384196,0.890531,-0.108855,0.267221,0.160296,-0.023378,0.25241,0.01259,0.035478,0.092221,-0.015746,1470.95064,0.502742,886.013733,50.941176,61.679509,0.401742,-0.013928,0.167056,mixed
